codigo_AMB_92;descricao_AMB_92;codigo_TUSS;descricao_TUSS;
15020053;DIALISE PER AMB(CAPD)MANUTENC;31008038;DIALISE PERITONEAL AMBULATORIAL CONTINUA (CAPD) POR MES/PACIENTE;
15020061;INSTALACAO CATETER PEMANENTE;31008070;INSTALACAO DE CATETER TENCKHOFF;
15020070;RETIRADA CATETER TENCKHOFT;31008097;RETIRADA DE CATETER TENCKHOFF;
15020177;RETIRADA CATETER VENOSO LONGA PERMANENCI;30913128;RETIRADA CIRURGICA DE CATETER DE LONGA PERMANENCIA PARA NPP, QT OU PARA HEMODEPU;
15030016;CONTROLE CLINICO PRE POS OPERA;20201010;ACOMPANHAMENTO CLINICO DE TRANSPLANTE RENAL NO PERIODO DE INTERNACAO DO RECEPTOR;
15030024;REJEICAO TRANSPLANTE T.AMBULAT;20101171;REJEICAO DE ENXERTO RENAL - TRATAMENTO AMBULATORIAL - AVALIACAO CLINICA DIARIA;
15030032;REJEICAO TRANSPLANTE INTERNADO;20201060;REJEICAO DE ENXERTO RENAL - TRATAMENTO INTERNADO - AVALIACAO CLINICA DIARIA - PO;
15030040;SEGUIM AMB POS TRANSPLANTE;20101015;ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE RENAL - POR AVALIACAO;
15030059;PUNCAO ASP RENAL P/DIAG REJEIC;31101399;PUNCAO ASPIRATIVA RENAL PARA DIAGNOSTICO DE REJEICAO (ATO MEDICO);
16010019;BLOQUEIO ANESTESICO DE NERVOS CRANIANOS;31602045;BLOQUEIO ANESTESICO DE NERVOS CRANIANOS;
16010027;BLOQUEIO ANESTESICO DE PLEXO CELIACO;31602053;BLOQUEIO ANESTESICO DE PLEXO CELIACO;
16010035;BLOQUEIO ANEST DE SIMPATICO CERV-TORACIO;31602070;BLOQUEIO ANESTESICO SIMPATICO;
16010043;BLOQUEIO ANESTESICO DE SIMPATICO LOMBAR;31602061;BLOQUEIO ANESTESICO DE SIMPATICO LOMBAR;
16010051;BLOQUEIO PERIDURAL SUB. C/CORTICOIDE;31602169;BLOQUEIO PERIDURAL OU SUBARACNOIDEO COM CORTICOIDE;
16010060;BLOQUEIO DE NERVO PERIFERICO;31602118;BLOQUEIO DE NERVO PERIFERICO;
16010078;PASSAGEM DE CATETER PER OU SUB C/BL DE P;31602223;PASSAGEM DE CATETER PERIDURAL OU SUBARACNOIDEO COM BLOQUEIO DE PROVA;
16010086;ANALGESIA POR DIA SUBSEQUENTE;31602029;ANALGESIA POR DIA SUBSEQUENTE. ACOMPANHAMENTO DE ANALGESIA POR CATETER PERIDURAL;
16010094;BLOQUEIO NEUROLITICO NERVOS CRAN.CERV-TO;31602134;BLOQUEIO NEUROLITICO DE NERVOS CRANIANOS OU CERVICO-TORACICO;
16010108;BLOQUEIO NEUROLITICO PERI/SUBARACNOIDEO;31602150;BLOQUEIO NEUROLITICO PERIDURAL OU SUBARACNOIDEO;
16010116;BLOQUEIO NEUROLITICO PLEXO CELIACO/SIMP.;31602142;BLOQUEIO NEUROLITICO DO PLEXO CELIACO, SIMPATICO LOMBAR OU TORACICO;
16010124;ANESTESIA GERAL/CONDUTIVA P/REAL.BQ.NEUR;31602037;ANESTESIA GERAL OU CONDUTIVA PARA REALIZACAO DE BLOQUEIO NEUROLITICO;
16020014;BRONCOGRAGIA UNILATERAL;31602622;PORTE ANESTESICO 3;
16020030;ANESTESIA P/ANGIOGRAFIA CAROTIDA UNILAT;31602614;PORTE ANESTESICO 2;
16020057;ANESTESIA P/ANGIOGRAFIA CAROT.UNI(P.DIRE;31602622;PORTE ANESTESICO 3;
16020065;ANESTESIA P/ANGIOGRAFIA CAROTIDA BILAT;16020065;ANESTESIA P/ANGIOGRAFIA CAROTIDA BILAT;
16020073;ANESTESIA PARA ARTERIOGRAFIA VERTEBRAL;31602622;PORTE ANESTESICO 3;
16020081;ARCO AORTICO VASOS DO PESCOSO;31602622;PORTE ANESTESICO 3;
16020090;ANGIOGRAFIA MEDULAR;31602622;PORTE ANESTESICO 3;
16020103;PNEUMOENCEFALOGRAFIA-VENTRICULOGRAFIA;31602622;PORTE ANESTESICO 3;
16020111;ANESTESIA PARA MIELOGRAFIA;40810011;MIELOGRAFIA SEGMENTAR (POR SEGMENTO);
16020120;PNEUMOMIELOGRAFIA SEGMENTAR;31602622;PORTE ANESTESICO 3;
16020138;ANESTESIA PORTE 2 PARA TOMOGRAFIA;31602614;PORTE ANESTESICO 2;
16020146;ANESTESIA P/EXAMES RAD/ULTRASONOGRAFICO;31602614;PORTE ANESTESICO 2;
17010012;AVALIACAO CLINICA DIARIA;20201117;AVALIACAO CLINICA DIARIA PARENTERAL;
17010020;AVALIACO CLIN DIARIA ENTERAL;20201109;AVALIACAO CLINICA DIARIA ENTERAL;
17010039;ACESSO CIRCULACAO VENOSA CENTR;30913098;DISSECCAO DE VEIA COM COLOCACAO CATETER VENOSO;
17010047;COLOC SONDA NASO DUODENAL;31003206;COLOCACAO DE SONDA ENTERAL;
17010055;AVALIACAO CLINICA DIARIA PAR. E ENTERAL;20201125;AVALIACAO CLINICA DIARIA PARENTERAL E ENTERAL;
17010098;BIOIMPEDANCIOMETRIA (AMBULATORIAL);41301048;BIOIMPEDANCIOMETRIA (AMBULATORIAL) EXAME;
18010016;ENTREVISTAS INICIAIS (MAX 3 SES.)ECONOMU;18010016;ENTREVISTAS INICIAIS (MAX 3 SES.)ECONOMU;
18010059;RORSCHACH, QDO SOLIC SEPARADAMENTE;18010059;RORSCHACH, QDO SOLIC SEPARADAMENTE;
18010067;AVAL COMP(SENDO NECES ENV LAU CONF TES A;18010067;AVAL COMP(SENDO NECES ENV LAU CONF TES A;
18020038;PSICOTERAPIA FAMILIAR;18020038;PSICOTERAPIA FAMILIAR;
18020046;PSICOTERAPIA INDIV-(INFATIL,ADOL,ADULTO);18020046;PSICOTERAPIA INDIV-(INFATIL,ADOL,ADULTO);
19010010;APLIC HIPOSSENSIBILIZANTE P/AP;20104022;APLICACAO DE HIPOSSENSIBILIZANTE - EM CONSULTORIO (AHC) EXCLUSIVE O ALERGENO - P;
19010028;EXERC REABILIT ASMATICO-INDIVI;20103255;EXERCICIOS PARA REABILITACAO DO ASMATICO (ERAI) - POR SESSAO INDIVIDUAL;
19010036;EXERC REABILIT ASMATICO-GRUPO;20103247;EXERCICIOS PARA REABILITACAO DO ASMATICO (ERAC) - POR SESSAO COLETIVA;
19010044;HIPOSSENSIB ESPECIFICA 30 DIAS;20104138;IMUNOTERAPIA ESPECÍFICA - 30 DIAS - PLANEJAMENTO TÉCNICO;
19010079;PROVAS IMUNO-ALERGICAS BACTERI;41401069;PROVAS IMUNO-ALERGICAS PARA BACTERIAS (POR ANTIGENO);
19010087;PROVAS IMUNO ALERGICAS P/FUNGO;41401077;PROVAS IMUNO-ALÉRGICAS PARA FUNGOS (POR ANTÍGENO);
19010095;PROVA DE PROVACAO - PROVA;41401107;TESTE DE BRONCOPROVOCAÇÃO;
19010117;TESTES CUT LEITURA IMEDIATA;41401360;TESTES CUTANEO-ALERGICOS PARA ALERGENOS DA POEIRA;
19010125;TESTES CONTATO (ATE 15 SUBST);41401425;TESTES DE CONTATO - ATE 30 SUBSTANCIAS;
19010133;TESTE CONTATO (SUBST.ACIMA 15);41401433;TESTES DE CONTATO - POR SUBSTANCIA, ACIMA DE 30;
19010141;TETES CONT C/FOTOSSENS.15 SUBS;41401441;TESTES DE CONTATO POR FOTOSSENSIBILIZACAO - ATE 30 SUBSTANCIAS;
19010150;TESTES CONT C/FOTOSSENS+15SUBS;41401450;TESTES DE CONTATO POR FOTOSSENSIBILIZACAO - POR SUBSTANCIA, ACIMA DE 30;
19010168;TESTES IMUNO-ALERGICOS IN VITR;19010168;TESTES IMUNO-ALERGICOS IN VITR;
19010192;TESTES CUTANEOS ALERGICOS P/ALIM (TCAAL);41401379;TESTES CUTANEO-ALERGICOS PARA ALIMENTOS;
19010206;TESTES CUTANEO-ALERGICOS P/FUNGOS (TCAF);41401387;TESTES CUTANEO-ALERGICOS PARA FUNGOS;
19010214;TESTES CUTANEOS-ALERGICOS AL.POEIRA-TCAP;41401360;TESTES CUTANEO-ALERGICOS PARA ALERGENOS DA POEIRA;
19010222;TESTES CUTANEO ALERGICOS P/INSETOS HEMATOFAGOS (TCAIH);41401395;TESTES CUTANEO-ALERGICOS PARA INSETOS HEMATOFAGOS;
19010230;TESTES CUTANEO-ALERGICOS PPOLENS TCAPO;41401409;TESTES CUTANEO-ALERGICOS PARA POLENS;
19010257;IMUNOTERAPIA INESPECIFICA 30 DIAS (II);20104146;IMUNOTERAPIA INESPECIFICA - 30 DIAS - PLANEJAMENTO TECNICO;
20010010;ELETROCARDIOGRAMA;40101010;ECG CONVENCIONAL DE ATE 12 DERIVACOES;
20010028;TESTE ERGOMETRICO BICICL/ESTEI;40101045;TESTE ERGOMETRICO CONVENCIONAL - 3 OU MAIS DERIVACOES SIMULTANEAS (INCLUI ECG BA;
20010036;TESTE ERGOMETRICO COMPUTADORIZADO;40101037;TESTE ERGOMETRICO COMPUTADORIZADO (INCLUI ECG BASAL CONVENCIONAL);
20010044;MONIT ELETROCARD PROG NAO CONT;20102111;MONITORIZACAO ELETROCARDIOGRAFICA PROGRAMADA COM TRANSCRICAO - NAO CONTINUA;
20010052;SISTEMA HOLTER 24HRS 2 CANAIS;20102011;HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALOGICO;
20010060;SISTEMA HOLTER 24 HRS 1 CANAL;20102100;SISTEMA HOLTER - 24 HORAS - 1 CANAL;
20010079;SISTEMA HOLTER 12 HRS 2 CANAIS;20102097;SISTEMA HOLTER - 12 HORAS - 2 OU MAIS CANAIS;
20010087;SISTEMA HOLTER 12 HRS L CANAL;20102089;SISTEMA HOLTER - 12 HORAS - 1 CANAL;
20010133;ECOCARDIOGRAMA BIDIM C/DOPLLER;40901106;ECODOPPLERCARDIOGRAMA TRANSTORACICO;
20010141;ECOCARDIOGRAMA BID C/MAP FLUXO;40901106;ECODOPPLERCARDIOGRAMA TRANSTORACICO;
20010150;ECODOPPLER DE ESFORCO/STRESS FARMACOLOGI;40901076;ECODOPPLERCARDIOGRAMA COM ESTRESSE FARMACOLOGICO;
20010168;ECODOPPLER DE CAROTIDAS;40901360;DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS BILATERAL (CAROTIDAS E VERTEBRAIS);
20010176;ECODOPPLER VERTEBRAL OU VASCULAR PERIF;40901360;DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS BILATERAL (CAROTIDAS E VERTEBRAIS);
20010184;ECODOPPLER CAROTIDAS C/MAP.DE FLUX.CORES;40901360;DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS BILATERAL (CAROTIDAS E VERTEBRAIS);
20010192;ECODOPPLER FETAL;40901238;OBSTETRICA;
20010206;ECODOPPLER FETAL C/MAP.DE FLUXO A CORES;40901084;ECODOPPLERCARDIOGRAMA FETAL COM MAPEAMENTO DE FLUXO EM CORES;
20010214;ECODOPPLER TRANSESOFAGICO;40901092;ECODOPPLERCARDIOGRAMA TRANSESOFAGICO (INCLUI TRANSTORACICO);
20010222;ECODOPPLER TRANSOPERATORIO EPICARDICO;40902072;ECODOPPLERCARDIOGRAMA TRANSOPERATORIO (TRANSESOFAGICO OU EPICARDICO) (1ª HORA);
20010230;ECODOPPLER TRANSOPERATORIO ESOFAGICO;40901092;ECODOPPLERCARDIOGRAMA TRANSESOFAGICO (INCLUI TRANSTORACICO);
20010249;MONITORIZACAO AMB PRESSAO ARTERIAL 24HS;20102038;MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL - MAPA (24 HORAS);
20010273;TESTE ERGOMETRICO CARDIOPULMONAR TE C COLETA GAZES P/DET CONS OXIGENIO;41401190;TESTE DE EXERCICIO EM ERGOMETRO COM MEDIDA DE GASES EXPIRADOS (TESTE CARDIOPULMO;
20020015;CARDIOVERSAO ELETRICA AVAL CLI;20201052;CARDIOVERSAO ELETRICA ELETIVA (AVALIACAO CLINICA, ELETROCARDIOGRAFICA, INDISPENS;
20020023;MARCAPASSO TEMP BEIRA LEITO;30904099;IMPLANTE DE MARCA-PASSO TEMPORARIO A BEIRA DO LEITO;
20020031;MONOTORIZACAO P/OPERAT CIR GER;20201036;ASSISTENCIA CARDIOLOGICA PEROPERATORIA EM CIRURGIA GERAL E EM PARTO (PRIMEIRA HO;
20020040;MONOT P/OPERAT CIR GER HRS SUB;20201044;ASSISTENCIA CARDIOLOGICA PEROPERATORIA EM CIRURGIA GERAL E EM PARTO (HORAS SUPLE;
20020058;MONITORIZACAO AMBULAT PRESSAO ART.24HS.;20102038;MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL - MAPA (24 HORAS);
20020066;CARDIO-ESTIMUL TRANSESOFAGICA TER/DIAG;30904013;CARDIO-ESTIMULACAO TRANSESOFAGICA (CETE), TERAPEUTICA OU DIAGNOSTICA;
20101201;AVALIACAO CLINICA E ELETRONICA DE PACIENTE PORTADOR DE MARCA-PASSO OU SINCRONIZADOR OU DESFIBRILADOR;20101201;AVALIACAO CLINICA E ELETRONICA DE PACIENTE PORTADOR DE MARCA-PASSO OU SINCRONIZADOR OU DESFIBRILADOR;
20102020;HOLTER DE 24 HORAS - 3 CANAIS - DIGITAL;20102020;HOLTER DE 24 HORAS - 3 CANAIS - DIGITAL;
20102070;TILT TESTE;20102070;TILT TESTE;
20103522;PATOLOGIA OSTEOMIOARTICULARES COM DEPENDENCIA DE ATIVIDADES DA VIDA DIARIA;20103522;PATOLOGIA OSTEOMIOARTICULARES COM DEPENDENCIA DE ATIVIDADES DA VIDA DIARIA;
20103638;REABILITAÇAO LABIRINTICA(POR SESSAO);20103638;REABILITAÇAO LABIRINTICA(POR SESSAO);
20103700;SEQUELAS EM POLITRAUMATIZADOS(EM DIFERENTES SEGMENTOS);20103700;SEQUELAS EM POLITRAUMATIZADOS(EM DIFERENTES SEGMENTOS);
21010013;EXAME ANATOMO PATOLOGICO P/OPE;40601013;PROCEDIMENTO DIAGNOSTICO PEROPERATORIO SEM DESLOCAMENTO DO PATOLOGISTA;
21010021;EX ANATOMO PATOLOGICO PECA RAD;40601110;"PROCEDIMENTO DIAGNOSTICO EM BIOPSIA SIMPLES ""IMPRINT"" E ""CELL BLOCK""";
21010021;EX ANATOMO PATOLOGICO PECA RAD;40601196;PROCEDIMENTO DIAGNOSTICO EM FRAGMENTOS MULTIPLOS DE BIOPSIAS  DE MESMO ORGAO OU TOPOGRAFIA ACONDICIONADOS EM UM MESMO FRASCO;
21010048;EX CITOPATOLOGICO ONC LIQUIDOS;40601129;PROCEDIMENTO DIAGNOSTICO CITOPATOLOGICO ONCOTICO DE LIQUIDOS E RASPADOS CUTANEOS;
21010056;EX CITOPATOLOGICO CERVICO-VAG;40601137;PROCEDIMENTO DIAGNOSTICO EM CITOPATOLOGIA CERVICO-VAGINAL ONCOTICA;
21010064;EX CITOPATOLOGICO HORMONAL SER;40601145;PROCEDIMENTO DIAGNOSTICO EM CITOLOGIA HORMONAL SERIADO;
21010072;NECROPSIA ADULTOS E CRIANCAS;40601048;NECROPSIA DE ADULTO/CRIANCA E NATIMORTO COM SUSPEITA DE ANOMALIA GENETICA;
21010080;NECROPSIA FETO E EX PLACENTA;40601056;NECROPSIA DE EMBRIAO / FETO ATE 500 GRAMAS;
21010099;REVISAO DE LAMINA;40601153;PROCEDIMENTO DIAGNOSTICO EM REVISAO DE LAMINAS OU CORTES HISTOLOGICOS SERIADOS;
21010102;COLORACAO ESPECIAL CADA;40601269;COLORACAO ESPECIAL POR COLORACAO;
21010145;EX CITOPATOLOGICO HORM ISOLADO;40601161;PROCEDIMENTO DIAGNOSTICO EM CITOLOGIA HORMONAL ISOLADA;
21010153;IMUNOPEROXIDASE P/ANTIC PRIMAR;40601188;PROCEDIMENTO DIAGNOSTICO EM REACAO IMUNOISTOQUIMICA ISOLADA;
21010161;ATO DA COLETA DE PUNC.ASPIR.P/AGULH.FINA;40601072;ATO DE COLETA DE PAAF DE ORGAOS OU ESTRUTURAS SUPERFICIAIS - SEM DESLOCAMENTO DO;
21010170;ATO COLETA PUNCAO BIOP,ASP,P/AG, ORGAOS;40601072;ATO DE COLETA DE PAAF DE ORGAOS OU ESTRUTURAS SUPERFICIAIS - SEM DESLOCAMENTO DO;
21010188;ATO DA COL.PUNC.BIOP/ASP.POR AGULHA FINA;40601080;ATO DE COLETA DE PAAF DE ORGAOS OU ESTRUTURAS PROFUNDAS SEM DESLOCAMENTO DO PATO;
21010196;HIBRIDIZACAO MOLECULAR(P/ONCOGEM PESQUIS;40601285;PROCEDIMENTO DIAGNÓSTICO EM PAINEL DE HIBRIDIZAÇÃO IN SITU;
21010200;PAINEL DE HIBRIDIZACAO MOLECULAR C/PESQ.;40601285;"PROCEDIMENTO DIAGNOSTICO EM PAINEL DE HIBRIDIZACAO ""IN SITU""";
21010218;PAINEL DE IMUNO-HISTOQUIMICA P/DIAGNOST.;40601170;PROCEDIMENTO DIAGNOSTICO EM PAINEL DE IMUNOISTOQUIMICA (DUAS A CINCO REACOES);
21010226;PAINEL DE IMUNO-HISTOQUIMICA P/DETERMIN.;40601188;PROCEDIMENTO DIAGNOSTICO EM REACAO IMUNOISTOQUIMICA ISOLADA;
21010234;PAINEL DE IMUNO-HISTOQUIMICA P/PESQUISA;40601188;PROCEDIMENTO DIAGNOSTICO EM REACAO IMUNOISTOQUIMICA ISOLADA;
21010242;EXAMES ANTATOMO-PAT.PER-OPERATORIO C/AC.;40601030;PROCEDIMENTO DIAGNOSTICO PEROPERATORIO COM DESLOCAMENTO DO PATOLOGISTA;
21010269;ATO COLETA DE PUNCAO BIOPSIA ASP. POR AGULHA FINA, DE ORGAOS;40601099;ATO DE COLETA DE PAAF DE ORGAOS OU ESTRUTURA SUPERF. COM DESLOCAMENTO DO PATOLOGISTA;
22010017;ELETROENCEFALOGRAMA EM VIGILIA;40103170;EEG DE ROTINA;
22010025;ELETROENCEFALOGRAMA C/FOTO EST;40103170;EEG DE ROTINA;
22010033;ELETROENCEFALOGRAMA C/COMP CAR;40103196;EEGQ QUANTITATIVO (MAPEAMENTO CEREBRAL);
22010041;ELETROENCEF.ESFER.NASO FARING.;40103200;ELETRENCEFALOGRAMA ESPECIAL: TERAPIA INTENSIVA, MORTE ENCEFALICA, EEG PROLONGADO;
22010050;ELETROENC.C/SONO EM VIGILIA;40103170;EEG DE ROTINA;
22010050;ELETROENC.C/SONO EM VIGILIA;40103234;ELETRENCEFALOGRAMA EM VIGILIA E  SONO ESPONTANEO OU INDUZIDO;
22010068;ECOENCEFALOGRAMA;22010068;ECOENCEFALOGRAMA;
22010106;POTENCIAL EVOCADO VISUAL;40103633;POTENCIAL EVOCADO VISUAL (PEV);
22010114;POTENCIAL EVOCADO AUDITIVO;40103064;AUDIOMETRIA DE TRONCO CEREBRAL (PEA) BERA;
22010122;POTENCIAL AUDITIVO SOMATO SENS;40103587;POTENCIAL SOMATO-SENSITIVO PARA LOCALIZACAO FUNCIONAL DA AREA CENTRAL (MONITORIZ;
22010130;POTENCIAL AUDITIVO SOMATO SENS;40103307;ELETRONEUROMIOGRAFIA (VELOCIDADE DE CONDUCAO) TESTES DE ESTIMULOS PARA PARALISIA;
22010130;ELETRONEUROMIOGRAFIA (POR SEGMENTO);40103323;ELETRONEUROMIOGRAFIA DE MMSS;
22010130;ELETRONEUROMIOGRAFIA (POR SEGMENTO);40103331;ELETRONEUROMIOGRAFIA DE MMSS e MMII;
22010149;POLISSONOGRAFIA;40103528;POLISSONOGRAFIA DE NOITE INTEIRA (PSG) (INCLUI POLISSONOGRAMAS);
22010149;POLISSONOGRAFIA(PSG);40103536;POLISSONOGRAFIA COM EEG DE NOITE INTEIRA;
22010149;POLISONOGRAFIA(PSG);40103544;POLISSONOGRAMA COM TESTE DE CPAP NASAL;
22010157;ELETROENCEFALOGRAMA PROLONGADO POR HORA;40103200;ELETRENCEFALOGRAMA ESPECIAL: TERAPIA INTENSIVA, MORTE ENCEFALICA, EEG PROLONGADO;
22010165;POT/EVOC.SOMATO-SENSITIVO(MEMB.INFERIOR);40103587;POTENCIAL SOMATO-SENSITIVO PARA LOCALIZACAO FUNCIONAL DA AREA CENTRAL (MONITORIZ;
22010173;POTENCIAL EVOCADO GENITO-CORTICAL;40103595;POTENCIAL EVOCADO GENITO-CORTICAL (PEGC);
22010181;ESTUDO P-300;40103560;POTENCIAL EVOCADO - P300;
22010190;MAPEAMENTO CEREBRAL C/ POTENCIAL EVOCADO;40103196;EEGQ QUANTITATIVO (MAPEAMENTO CEREBRAL);
22010203;MAPEAMENTO CEREBRAL C/ELETROENCEFALOGRAM;40103196;EEGQ QUANTITATIVO (MAPEAMENTO CEREBRAL);
22010211;TESTE ESTIMULACAO REPETITIVA,FIBRA UNICA;40103374;"EMG COM REGISTRO DE MOVIMENTO INVOLUNTARIO (TESTE DINAMICO DE ESCRITA; ESTUDO FU";
22010262;TESTE DE LATENCIAS MULTIPLAS SONO (TLMS);40103730;TESTE DE LATENCIAS MULTIPLAS DE SONO (TLMS) DIURNO POS PSG;
23010010;COLAGEOPANCREOGRAFIA RETROGADA;40201074;COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA;
23010029;COLONOSCOPIA;40201082;COLONOSCOPIA (INCLUI A RETOSSIGMOIDOSCOPIA);
23010029;COLONOSCOPIA;40202666;COLONOSCOPIA COM BIOPSIA E/OU CITOLOGIA;
23010037;ENDOSCOPIA DIGESTIVA ALTA(ESD);40201120;ENDOSCOPIA DIGESTIVA ALTA;
23010045;LAPAROSCOPIA;40201163;LAPAROSCOPIA;
23010053;RETOSSIGMOIDOSCOPIA RIGIDA;40201180;RETOSSIGMOIDOSCOPIA RIGIDA;
23010061;RETOSSIGMOIDOSCOPIA FLEXIVEL;40201171;RETOSSIGMOIDOSCOPIA FLEXIVEL;
23020016;COLOC.DE PROT.COLED.P/VIA END.;40202119;COLOCACAO DE PROTESE COLEDOCIANA POR VIA ENDOSCOPICA;
23020024;DILAT.ESOFAGO.C/OGIVAS S/V.END;40202186;DILATACAO INSTRUMENTAL DO ESOFAGO, ESTOMAGO OU DUODENO;
23020032;DILAT.DE ESOFAGO C/BALAO PNEUM;40202186;DILATACAO INSTRUMENTAL DO ESOFAGO, ESTOMAGO OU DUODENO;
23020040;DILATACAO DE ESOFAGO COM VELAS;40202186;DILATAÇÃO INSTRUMENTAL DO ESÔFAGO, ESTÔMAGO OU DUODENO;
23020059;ESCLEROSE DE VARIZES ESOFAGEAN;40202259;ESCLEROSE DE VARIZES DE ESOFAGO, ESTOMAGO OU DUODENO;
23020067;INTROD.ENDOSC.DE PROTESES ESOF;40202348;INTRODUCAO DE PROTESE NO ESOFAGO;
23020075;POLIPECTOMIA DE ESOF.EST.DUOD.;40202550;POLIPECTOMIA DO ESOFAGO, ESTOMAGO OU DUODENO (INDEPENDENTE DO NUMERO DE POLIPOS);
23020083;PAPILOTOMIA ENDOSCOPICA (PARA RETIRADA CALCULOS COLEDOCIANOS DRENAGEM BILIAR);40202496;PAPILOTOMIA BIOPSIA E OU CITOLOGIA BILIAR E PANCREATICA;
23020083;PAPIL.ENDOSC.RET.CALC.COLEDOC.;40202518;PAPILOTOMIA ENDOSCOPICA (PARA RETIRADA DE CALCULOS COLEDOCIANOS OU DRENAGEM BILI;
